date,config,expected_uncovered,cvar_uncovered,expected_demand,cvar_demand,units,districts_served,want_pompa,want_truk
2015-05-02,B0,15853939,16637029,15853939,16637029,0,0,113,6892
2015-05-02,B1,15690739,16474695,15853939,16637029,73,16,113,6892
2015-05-02,B2,15706139,16490362,15853939,16637029,73,22,113,6892
2015-05-02,B3,15698545,16356200,15853939,16574533,73,10,113,6892
2015-05-03,B0,16025066,16687552,16025066,16687552,0,0,144,6892
2015-05-03,B1,15848166,16479885,16025066,16687552,92,25,144,6892
2015-05-03,B2,15858566,16484885,16025066,16687552,92,29,144,6892
2015-05-03,B3,15836203,16376946,16025066,16675151,95,9,144,6892
2015-05-04,B0,15827677,16383099,15827677,16383099,0,0,76,6892
2015-05-04,B1,15641277,16217772,15827677,16379106,73,16,76,6892
2015-05-04,B2,15654844,16237772,15827677,16379106,73,21,76,6892
2015-05-04,B3,15636935,16132811,15827677,16379106,73,12,76,6892
2015-05-06,B0,15524845,16362936,15524845,16362936,0,0,19,6892
2015-05-06,B1,15381145,16216603,15524845,16362936,66,23,19,6892
2015-05-06,B2,15390145,16225603,15524845,16362936,63,23,19,6892
2015-05-06,B3,15373298,16206331,15524845,16362936,67,11,19,6892
2015-05-15,B0,15546715,16216276,15546715,16216276,0,0,37,6892
2015-05-15,B1,15398348,16074276,15546715,16216276,73,29,37,6892
2015-05-15,B2,15411248,16088276,15546715,16216276,72,33,37,6892
2015-05-15,B3,15392614,16020675,15546715,16216276,73,9,37,6892
